timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/19 00:14:43.718, NVIDIA GeForce RTX 3080, 0 %, 3 %, 389 MiB, 10240 MiB, 35, 27.53 W
2025/12/19 00:14:44.730, NVIDIA GeForce RTX 3080, 0 %, 3 %, 392 MiB, 10240 MiB, 35, 27.63 W
2025/12/19 00:14:45.730, NVIDIA GeForce RTX 3080, 0 %, 3 %, 392 MiB, 10240 MiB, 35, 28.58 W
2025/12/19 00:14:46.730, NVIDIA GeForce RTX 3080, 6 %, 4 %, 392 MiB, 10240 MiB, 35, 27.50 W
2025/12/19 00:14:47.730, NVIDIA GeForce RTX 3080, 0 %, 3 %, 392 MiB, 10240 MiB, 35, 27.35 W
2025/12/19 00:14:48.731, NVIDIA GeForce RTX 3080, 0 %, 3 %, 392 MiB, 10240 MiB, 35, 27.38 W
2025/12/19 00:14:49.731, NVIDIA GeForce RTX 3080, 20 %, 0 %, 1111 MiB, 10240 MiB, 36, 74.46 W
2025/12/19 00:14:50.731, NVIDIA GeForce RTX 3080, 20 %, 0 %, 1763 MiB, 10240 MiB, 37, 88.71 W
2025/12/19 00:14:51.731, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1927 MiB, 10240 MiB, 36, 87.72 W
2025/12/19 00:14:52.731, NVIDIA GeForce RTX 3080, 2 %, 0 %, 1927 MiB, 10240 MiB, 37, 86.84 W
2025/12/19 00:14:53.731, NVIDIA GeForce RTX 3080, 1 %, 0 %, 1927 MiB, 10240 MiB, 37, 86.90 W
2025/12/19 00:14:54.732, NVIDIA GeForce RTX 3080, 5 %, 0 %, 1975 MiB, 10240 MiB, 37, 86.99 W
2025/12/19 00:14:55.732, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1975 MiB, 10240 MiB, 37, 86.55 W
2025/12/19 00:14:56.733, NVIDIA GeForce RTX 3080, 1 %, 0 %, 1975 MiB, 10240 MiB, 37, 86.45 W
2025/12/19 00:14:57.733, NVIDIA GeForce RTX 3080, 3 %, 0 %, 1975 MiB, 10240 MiB, 37, 86.64 W
2025/12/19 00:14:58.733, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1975 MiB, 10240 MiB, 37, 86.94 W
2025/12/19 00:14:59.733, NVIDIA GeForce RTX 3080, 1 %, 0 %, 1975 MiB, 10240 MiB, 37, 87.17 W
2025/12/19 00:15:00.733, NVIDIA GeForce RTX 3080, 11 %, 1 %, 1975 MiB, 10240 MiB, 37, 87.17 W
2025/12/19 00:15:01.734, NVIDIA GeForce RTX 3080, 1 %, 0 %, 1975 MiB, 10240 MiB, 37, 87.06 W
2025/12/19 00:15:02.734, NVIDIA GeForce RTX 3080, 3 %, 0 %, 1975 MiB, 10240 MiB, 37, 87.34 W
2025/12/19 00:15:03.735, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1975 MiB, 10240 MiB, 38, 86.91 W
2025/12/19 00:15:04.735, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1975 MiB, 10240 MiB, 38, 86.85 W
2025/12/19 00:15:05.735, NVIDIA GeForce RTX 3080, 1 %, 0 %, 1975 MiB, 10240 MiB, 38, 87.19 W
