timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 22:55:09.664, NVIDIA GeForce RTX 3080, 99 %, 83 %, 2708 MiB, 10240 MiB, 51, 302.57 W
2025/12/18 22:55:10.668, NVIDIA GeForce RTX 3080, 99 %, 83 %, 2708 MiB, 10240 MiB, 52, 303.04 W
2025/12/18 22:55:11.668, NVIDIA GeForce RTX 3080, 99 %, 75 %, 2708 MiB, 10240 MiB, 52, 303.36 W
2025/12/18 22:55:12.668, NVIDIA GeForce RTX 3080, 99 %, 80 %, 2708 MiB, 10240 MiB, 53, 303.38 W
2025/12/18 22:55:13.669, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2708 MiB, 10240 MiB, 53, 294.08 W
2025/12/18 22:55:14.669, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2708 MiB, 10240 MiB, 54, 305.29 W
2025/12/18 22:55:15.669, NVIDIA GeForce RTX 3080, 100 %, 69 %, 3019 MiB, 10240 MiB, 54, 290.69 W
2025/12/18 22:55:16.669, NVIDIA GeForce RTX 3080, 100 %, 61 %, 3089 MiB, 10240 MiB, 54, 291.48 W
2025/12/18 22:55:17.669, NVIDIA GeForce RTX 3080, 99 %, 75 %, 3180 MiB, 10240 MiB, 54, 286.46 W
2025/12/18 22:55:18.669, NVIDIA GeForce RTX 3080, 99 %, 60 %, 3265 MiB, 10240 MiB, 54, 277.62 W
2025/12/18 22:55:19.669, NVIDIA GeForce RTX 3080, 100 %, 64 %, 3359 MiB, 10240 MiB, 55, 272.14 W
2025/12/18 22:55:20.670, NVIDIA GeForce RTX 3080, 100 %, 75 %, 3447 MiB, 10240 MiB, 55, 277.80 W
2025/12/18 22:55:21.670, NVIDIA GeForce RTX 3080, 99 %, 73 %, 3565 MiB, 10240 MiB, 56, 296.65 W
2025/12/18 22:55:22.670, NVIDIA GeForce RTX 3080, 100 %, 62 %, 3673 MiB, 10240 MiB, 56, 282.02 W
2025/12/18 22:55:23.670, NVIDIA GeForce RTX 3080, 100 %, 73 %, 3779 MiB, 10240 MiB, 57, 288.11 W
2025/12/18 22:55:24.670, NVIDIA GeForce RTX 3080, 99 %, 75 %, 3925 MiB, 10240 MiB, 57, 296.28 W
2025/12/18 22:55:25.670, NVIDIA GeForce RTX 3080, 99 %, 75 %, 4033 MiB, 10240 MiB, 58, 295.60 W
2025/12/18 22:55:26.671, NVIDIA GeForce RTX 3080, 100 %, 76 %, 4167 MiB, 10240 MiB, 58, 296.12 W
2025/12/18 22:55:27.671, NVIDIA GeForce RTX 3080, 100 %, 67 %, 4219 MiB, 10240 MiB, 58, 290.18 W
2025/12/18 22:55:28.671, NVIDIA GeForce RTX 3080, 99 %, 73 %, 4249 MiB, 10240 MiB, 59, 283.56 W
2025/12/18 22:55:29.671, NVIDIA GeForce RTX 3080, 99 %, 70 %, 4249 MiB, 10240 MiB, 59, 299.48 W
2025/12/18 22:55:30.671, NVIDIA GeForce RTX 3080, 98 %, 75 %, 4249 MiB, 10240 MiB, 59, 295.99 W
2025/12/18 22:55:31.671, NVIDIA GeForce RTX 3080, 99 %, 68 %, 4249 MiB, 10240 MiB, 59, 297.65 W
2025/12/18 22:55:32.672, NVIDIA GeForce RTX 3080, 99 %, 78 %, 4251 MiB, 10240 MiB, 60, 299.28 W
2025/12/18 22:55:33.672, NVIDIA GeForce RTX 3080, 99 %, 78 %, 4265 MiB, 10240 MiB, 61, 302.02 W
2025/12/18 22:55:34.672, NVIDIA GeForce RTX 3080, 99 %, 77 %, 4277 MiB, 10240 MiB, 61, 298.74 W
2025/12/18 22:55:35.672, NVIDIA GeForce RTX 3080, 99 %, 77 %, 4297 MiB, 10240 MiB, 61, 300.03 W
2025/12/18 22:55:36.672, NVIDIA GeForce RTX 3080, 99 %, 76 %, 4297 MiB, 10240 MiB, 62, 304.73 W
2025/12/18 22:55:37.672, NVIDIA GeForce RTX 3080, 98 %, 82 %, 4297 MiB, 10240 MiB, 62, 306.43 W
2025/12/18 22:55:38.672, NVIDIA GeForce RTX 3080, 98 %, 78 %, 4297 MiB, 10240 MiB, 62, 303.88 W
2025/12/18 22:55:39.673, NVIDIA GeForce RTX 3080, 99 %, 77 %, 4297 MiB, 10240 MiB, 63, 304.06 W
2025/12/18 22:55:40.673, NVIDIA GeForce RTX 3080, 99 %, 83 %, 4297 MiB, 10240 MiB, 63, 303.49 W
2025/12/18 22:55:41.673, NVIDIA GeForce RTX 3080, 99 %, 71 %, 4297 MiB, 10240 MiB, 63, 304.59 W
2025/12/18 22:55:42.673, NVIDIA GeForce RTX 3080, 99 %, 83 %, 4297 MiB, 10240 MiB, 63, 304.42 W
2025/12/18 22:55:43.673, NVIDIA GeForce RTX 3080, 98 %, 75 %, 4297 MiB, 10240 MiB, 64, 304.21 W
2025/12/18 22:55:44.673, NVIDIA GeForce RTX 3080, 99 %, 75 %, 4297 MiB, 10240 MiB, 64, 302.26 W
2025/12/18 22:55:45.674, NVIDIA GeForce RTX 3080, 98 %, 82 %, 4297 MiB, 10240 MiB, 64, 306.17 W
2025/12/18 22:55:46.674, NVIDIA GeForce RTX 3080, 99 %, 81 %, 4297 MiB, 10240 MiB, 64, 303.05 W
2025/12/18 22:55:47.674, NVIDIA GeForce RTX 3080, 99 %, 77 %, 4297 MiB, 10240 MiB, 65, 305.89 W
2025/12/18 22:55:48.674, NVIDIA GeForce RTX 3080, 99 %, 82 %, 4297 MiB, 10240 MiB, 65, 304.11 W
2025/12/18 22:55:49.674, NVIDIA GeForce RTX 3080, 99 %, 83 %, 4297 MiB, 10240 MiB, 65, 306.53 W
2025/12/18 22:55:50.674, NVIDIA GeForce RTX 3080, 99 %, 77 %, 4367 MiB, 10240 MiB, 65, 303.57 W
2025/12/18 22:55:51.675, NVIDIA GeForce RTX 3080, 99 %, 74 %, 4515 MiB, 10240 MiB, 66, 302.95 W
2025/12/18 22:55:52.675, NVIDIA GeForce RTX 3080, 99 %, 76 %, 5109 MiB, 10240 MiB, 66, 300.84 W
2025/12/18 22:55:53.675, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5109 MiB, 10240 MiB, 66, 305.56 W
2025/12/18 22:55:54.675, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5109 MiB, 10240 MiB, 67, 304.75 W
2025/12/18 22:55:55.675, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5109 MiB, 10240 MiB, 67, 305.49 W
2025/12/18 22:55:56.675, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5109 MiB, 10240 MiB, 67, 306.52 W
2025/12/18 22:55:57.675, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5109 MiB, 10240 MiB, 67, 307.29 W
2025/12/18 22:55:58.676, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5109 MiB, 10240 MiB, 67, 306.69 W
2025/12/18 22:55:59.676, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5109 MiB, 10240 MiB, 68, 306.22 W
2025/12/18 22:56:00.676, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5109 MiB, 10240 MiB, 68, 307.38 W
2025/12/18 22:56:01.676, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5117 MiB, 10240 MiB, 68, 306.97 W
2025/12/18 22:56:02.677, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5117 MiB, 10240 MiB, 68, 301.66 W
2025/12/18 22:56:03.677, NVIDIA GeForce RTX 3080, 100 %, 72 %, 5111 MiB, 10240 MiB, 68, 303.17 W
2025/12/18 22:56:04.677, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5111 MiB, 10240 MiB, 68, 302.83 W
2025/12/18 22:56:05.678, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5111 MiB, 10240 MiB, 69, 304.89 W
2025/12/18 22:56:06.678, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5113 MiB, 10240 MiB, 69, 306.67 W
2025/12/18 22:56:07.678, NVIDIA GeForce RTX 3080, 100 %, 74 %, 5109 MiB, 10240 MiB, 69, 304.18 W
2025/12/18 22:56:08.678, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5109 MiB, 10240 MiB, 69, 305.47 W
