timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/12/18 20:13:34.224, NVIDIA GeForce RTX 3080, 0 %, 3 %, 662 MiB, 10240 MiB
2025/12/18 20:13:35.231, NVIDIA GeForce RTX 3080, 23 %, 13 %, 665 MiB, 10240 MiB
2025/12/18 20:13:36.231, NVIDIA GeForce RTX 3080, 20 %, 12 %, 635 MiB, 10240 MiB
2025/12/18 20:13:37.231, NVIDIA GeForce RTX 3080, 0 %, 3 %, 637 MiB, 10240 MiB
2025/12/18 20:13:38.231, NVIDIA GeForce RTX 3080, 34 %, 22 %, 635 MiB, 10240 MiB
2025/12/18 20:13:39.231, NVIDIA GeForce RTX 3080, 19 %, 11 %, 634 MiB, 10240 MiB
2025/12/18 20:13:40.231, NVIDIA GeForce RTX 3080, 19 %, 10 %, 634 MiB, 10240 MiB
2025/12/18 20:13:41.232, NVIDIA GeForce RTX 3080, 3 %, 4 %, 634 MiB, 10240 MiB
2025/12/18 20:13:42.232, NVIDIA GeForce RTX 3080, 3 %, 4 %, 628 MiB, 10240 MiB
2025/12/18 20:13:43.232, NVIDIA GeForce RTX 3080, 3 %, 4 %, 628 MiB, 10240 MiB
2025/12/18 20:13:44.232, NVIDIA GeForce RTX 3080, 0 %, 3 %, 628 MiB, 10240 MiB
2025/12/18 20:13:45.232, NVIDIA GeForce RTX 3080, 3 %, 4 %, 628 MiB, 10240 MiB
2025/12/18 20:13:46.232, NVIDIA GeForce RTX 3080, 0 %, 3 %, 628 MiB, 10240 MiB
2025/12/18 20:13:47.233, NVIDIA GeForce RTX 3080, 7 %, 6 %, 628 MiB, 10240 MiB
2025/12/18 20:13:48.233, NVIDIA GeForce RTX 3080, 0 %, 3 %, 628 MiB, 10240 MiB
2025/12/18 20:13:49.233, NVIDIA GeForce RTX 3080, 0 %, 3 %, 1195 MiB, 10240 MiB
2025/12/18 20:13:50.233, NVIDIA GeForce RTX 3080, 1 %, 0 %, 1465 MiB, 10240 MiB
2025/12/18 20:13:51.233, NVIDIA GeForce RTX 3080, 14 %, 0 %, 2003 MiB, 10240 MiB
2025/12/18 20:13:52.233, NVIDIA GeForce RTX 3080, 12 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:13:53.234, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:13:54.234, NVIDIA GeForce RTX 3080, 1 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:13:55.234, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:13:56.234, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:13:57.234, NVIDIA GeForce RTX 3080, 1 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:13:58.234, NVIDIA GeForce RTX 3080, 1 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:13:59.235, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:14:00.235, NVIDIA GeForce RTX 3080, 1 %, 0 %, 2163 MiB, 10240 MiB
2025/12/18 20:14:01.235, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2162 MiB, 10240 MiB
2025/12/18 20:14:02.235, NVIDIA GeForce RTX 3080, 5 %, 0 %, 2162 MiB, 10240 MiB
2025/12/18 20:14:03.235, NVIDIA GeForce RTX 3080, 5 %, 0 %, 2210 MiB, 10240 MiB
2025/12/18 20:14:04.235, NVIDIA GeForce RTX 3080, 5 %, 0 %, 2205 MiB, 10240 MiB
2025/12/18 20:14:05.236, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2229 MiB, 10240 MiB
2025/12/18 20:14:06.236, NVIDIA GeForce RTX 3080, 4 %, 1 %, 2251 MiB, 10240 MiB
2025/12/18 20:14:07.236, NVIDIA GeForce RTX 3080, 7 %, 1 %, 2252 MiB, 10240 MiB
2025/12/18 20:14:08.237, NVIDIA GeForce RTX 3080, 4 %, 1 %, 2251 MiB, 10240 MiB
2025/12/18 20:14:09.237, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2252 MiB, 10240 MiB
2025/12/18 20:14:10.237, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2243 MiB, 10240 MiB
2025/12/18 20:14:11.237, NVIDIA GeForce RTX 3080, 4 %, 0 %, 2234 MiB, 10240 MiB
2025/12/18 20:14:12.237, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2234 MiB, 10240 MiB
2025/12/18 20:14:13.237, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2233 MiB, 10240 MiB
2025/12/18 20:14:14.237, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2233 MiB, 10240 MiB
2025/12/18 20:14:15.238, NVIDIA GeForce RTX 3080, 8 %, 1 %, 2242 MiB, 10240 MiB
2025/12/18 20:14:16.238, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2242 MiB, 10240 MiB
2025/12/18 20:14:17.238, NVIDIA GeForce RTX 3080, 8 %, 1 %, 2230 MiB, 10240 MiB
2025/12/18 20:14:18.238, NVIDIA GeForce RTX 3080, 8 %, 1 %, 2230 MiB, 10240 MiB
2025/12/18 20:14:19.238, NVIDIA GeForce RTX 3080, 8 %, 1 %, 2231 MiB, 10240 MiB
2025/12/18 20:14:20.238, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2229 MiB, 10240 MiB
2025/12/18 20:14:21.239, NVIDIA GeForce RTX 3080, 0 %, 2 %, 2228 MiB, 10240 MiB
2025/12/18 20:14:22.239, NVIDIA GeForce RTX 3080, 0 %, 2 %, 2223 MiB, 10240 MiB
2025/12/18 20:14:23.239, NVIDIA GeForce RTX 3080, 20 %, 13 %, 2223 MiB, 10240 MiB
2025/12/18 20:14:24.239, NVIDIA GeForce RTX 3080, 0 %, 3 %, 2223 MiB, 10240 MiB
2025/12/18 20:14:25.239, NVIDIA GeForce RTX 3080, 0 %, 3 %, 2223 MiB, 10240 MiB
2025/12/18 20:14:26.239, NVIDIA GeForce RTX 3080, 0 %, 3 %, 2223 MiB, 10240 MiB
2025/12/18 20:14:27.240, NVIDIA GeForce RTX 3080, 5 %, 5 %, 2223 MiB, 10240 MiB
2025/12/18 20:14:28.240, NVIDIA GeForce RTX 3080, 0 %, 3 %, 2222 MiB, 10240 MiB
2025/12/18 20:14:29.240, NVIDIA GeForce RTX 3080, 0 %, 3 %, 2223 MiB, 10240 MiB
2025/12/18 20:14:30.240, NVIDIA GeForce RTX 3080, 0 %, 3 %, 2457 MiB, 10240 MiB
2025/12/18 20:14:31.240, NVIDIA GeForce RTX 3080, 13 %, 0 %, 3040 MiB, 10240 MiB
2025/12/18 20:14:32.240, NVIDIA GeForce RTX 3080, 92 %, 80 %, 3040 MiB, 10240 MiB
2025/12/18 20:14:33.241, NVIDIA GeForce RTX 3080, 94 %, 82 %, 3039 MiB, 10240 MiB
2025/12/18 20:14:34.241, NVIDIA GeForce RTX 3080, 92 %, 81 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:35.241, NVIDIA GeForce RTX 3080, 92 %, 81 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:36.241, NVIDIA GeForce RTX 3080, 89 %, 77 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:37.241, NVIDIA GeForce RTX 3080, 91 %, 78 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:38.241, NVIDIA GeForce RTX 3080, 95 %, 82 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:39.241, NVIDIA GeForce RTX 3080, 92 %, 80 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:40.241, NVIDIA GeForce RTX 3080, 92 %, 79 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:41.242, NVIDIA GeForce RTX 3080, 88 %, 76 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:42.242, NVIDIA GeForce RTX 3080, 92 %, 79 %, 3036 MiB, 10240 MiB
2025/12/18 20:14:43.242, NVIDIA GeForce RTX 3080, 94 %, 82 %, 3033 MiB, 10240 MiB
2025/12/18 20:14:44.242, NVIDIA GeForce RTX 3080, 93 %, 81 %, 3033 MiB, 10240 MiB
2025/12/18 20:14:45.242, NVIDIA GeForce RTX 3080, 94 %, 83 %, 3033 MiB, 10240 MiB
2025/12/18 20:14:46.242, NVIDIA GeForce RTX 3080, 88 %, 77 %, 3033 MiB, 10240 MiB
2025/12/18 20:14:47.242, NVIDIA GeForce RTX 3080, 90 %, 79 %, 3033 MiB, 10240 MiB
2025/12/18 20:14:48.243, NVIDIA GeForce RTX 3080, 88 %, 76 %, 3036 MiB, 10240 MiB
2025/12/18 20:14:49.243, NVIDIA GeForce RTX 3080, 93 %, 80 %, 3039 MiB, 10240 MiB
2025/12/18 20:14:50.243, NVIDIA GeForce RTX 3080, 91 %, 80 %, 3039 MiB, 10240 MiB
2025/12/18 20:14:51.243, NVIDIA GeForce RTX 3080, 92 %, 80 %, 3039 MiB, 10240 MiB
2025/12/18 20:14:52.243, NVIDIA GeForce RTX 3080, 93 %, 82 %, 3039 MiB, 10240 MiB
2025/12/18 20:14:53.243, NVIDIA GeForce RTX 3080, 90 %, 77 %, 3039 MiB, 10240 MiB
2025/12/18 20:14:54.243, NVIDIA GeForce RTX 3080, 94 %, 81 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:55.244, NVIDIA GeForce RTX 3080, 92 %, 79 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:56.244, NVIDIA GeForce RTX 3080, 90 %, 77 %, 3037 MiB, 10240 MiB
2025/12/18 20:14:57.244, NVIDIA GeForce RTX 3080, 94 %, 80 %, 3039 MiB, 10240 MiB
2025/12/18 20:14:58.244, NVIDIA GeForce RTX 3080, 93 %, 80 %, 3040 MiB, 10240 MiB
2025/12/18 20:14:59.244, NVIDIA GeForce RTX 3080, 89 %, 76 %, 3039 MiB, 10240 MiB
2025/12/18 20:15:00.244, NVIDIA GeForce RTX 3080, 91 %, 77 %, 3039 MiB, 10240 MiB
2025/12/18 20:15:01.244, NVIDIA GeForce RTX 3080, 91 %, 77 %, 3039 MiB, 10240 MiB
2025/12/18 20:15:02.244, NVIDIA GeForce RTX 3080, 92 %, 79 %, 3039 MiB, 10240 MiB
2025/12/18 20:15:03.245, NVIDIA GeForce RTX 3080, 92 %, 78 %, 3037 MiB, 10240 MiB
2025/12/18 20:15:04.245, NVIDIA GeForce RTX 3080, 6 %, 1 %, 3042 MiB, 10240 MiB
2025/12/18 20:15:05.245, NVIDIA GeForce RTX 3080, 5 %, 1 %, 3046 MiB, 10240 MiB
2025/12/18 20:15:06.245, NVIDIA GeForce RTX 3080, 91 %, 80 %, 3046 MiB, 10240 MiB
2025/12/18 20:15:07.246, NVIDIA GeForce RTX 3080, 95 %, 83 %, 3046 MiB, 10240 MiB
2025/12/18 20:15:08.246, NVIDIA GeForce RTX 3080, 88 %, 76 %, 3046 MiB, 10240 MiB
2025/12/18 20:15:09.246, NVIDIA GeForce RTX 3080, 88 %, 75 %, 3046 MiB, 10240 MiB
2025/12/18 20:15:10.246, NVIDIA GeForce RTX 3080, 85 %, 73 %, 3044 MiB, 10240 MiB
2025/12/18 20:15:11.246, NVIDIA GeForce RTX 3080, 94 %, 81 %, 3050 MiB, 10240 MiB
2025/12/18 20:15:12.246, NVIDIA GeForce RTX 3080, 94 %, 80 %, 3071 MiB, 10240 MiB
2025/12/18 20:15:13.246, NVIDIA GeForce RTX 3080, 92 %, 79 %, 3067 MiB, 10240 MiB
2025/12/18 20:15:14.246, NVIDIA GeForce RTX 3080, 94 %, 81 %, 3063 MiB, 10240 MiB
2025/12/18 20:15:15.247, NVIDIA GeForce RTX 3080, 87 %, 75 %, 3063 MiB, 10240 MiB
2025/12/18 20:15:16.247, NVIDIA GeForce RTX 3080, 93 %, 79 %, 3043 MiB, 10240 MiB
2025/12/18 20:15:17.247, NVIDIA GeForce RTX 3080, 88 %, 75 %, 3034 MiB, 10240 MiB
2025/12/18 20:15:18.247, NVIDIA GeForce RTX 3080, 95 %, 81 %, 3029 MiB, 10240 MiB
2025/12/18 20:15:19.247, NVIDIA GeForce RTX 3080, 90 %, 76 %, 3021 MiB, 10240 MiB
2025/12/18 20:15:20.247, NVIDIA GeForce RTX 3080, 91 %, 77 %, 3021 MiB, 10240 MiB
2025/12/18 20:15:21.247, NVIDIA GeForce RTX 3080, 90 %, 76 %, 3029 MiB, 10240 MiB
2025/12/18 20:15:22.248, NVIDIA GeForce RTX 3080, 92 %, 79 %, 3028 MiB, 10240 MiB
2025/12/18 20:15:23.248, NVIDIA GeForce RTX 3080, 93 %, 80 %, 3029 MiB, 10240 MiB
2025/12/18 20:15:24.248, NVIDIA GeForce RTX 3080, 93 %, 80 %, 3031 MiB, 10240 MiB
2025/12/18 20:15:25.248, NVIDIA GeForce RTX 3080, 94 %, 81 %, 3044 MiB, 10240 MiB
2025/12/18 20:15:26.248, NVIDIA GeForce RTX 3080, 92 %, 78 %, 3061 MiB, 10240 MiB
2025/12/18 20:15:27.248, NVIDIA GeForce RTX 3080, 92 %, 78 %, 3056 MiB, 10240 MiB
2025/12/18 20:15:28.248, NVIDIA GeForce RTX 3080, 90 %, 76 %, 3057 MiB, 10240 MiB
2025/12/18 20:15:29.248, NVIDIA GeForce RTX 3080, 91 %, 78 %, 3056 MiB, 10240 MiB
2025/12/18 20:15:30.249, NVIDIA GeForce RTX 3080, 86 %, 72 %, 3052 MiB, 10240 MiB
2025/12/18 20:15:31.249, NVIDIA GeForce RTX 3080, 93 %, 79 %, 3051 MiB, 10240 MiB
2025/12/18 20:15:32.249, NVIDIA GeForce RTX 3080, 92 %, 78 %, 3045 MiB, 10240 MiB
2025/12/18 20:15:33.249, NVIDIA GeForce RTX 3080, 94 %, 81 %, 3058 MiB, 10240 MiB
2025/12/18 20:15:34.249, NVIDIA GeForce RTX 3080, 93 %, 79 %, 3062 MiB, 10240 MiB
