timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:37:54.500, NVIDIA GeForce RTX 3080, 0 %, 3 %, 589 MiB, 10240 MiB, 28, 26.75 W
2025/12/18 20:37:55.515, NVIDIA GeForce RTX 3080, 0 %, 3 %, 591 MiB, 10240 MiB, 28, 26.54 W
2025/12/18 20:37:56.515, NVIDIA GeForce RTX 3080, 0 %, 3 %, 591 MiB, 10240 MiB, 28, 26.40 W
2025/12/18 20:37:57.516, NVIDIA GeForce RTX 3080, 0 %, 3 %, 594 MiB, 10240 MiB, 28, 26.02 W
2025/12/18 20:37:58.516, NVIDIA GeForce RTX 3080, 0 %, 3 %, 594 MiB, 10240 MiB, 28, 26.52 W
2025/12/18 20:37:59.516, NVIDIA GeForce RTX 3080, 0 %, 3 %, 593 MiB, 10240 MiB, 28, 25.72 W
2025/12/18 20:38:00.516, NVIDIA GeForce RTX 3080, 0 %, 3 %, 593 MiB, 10240 MiB, 28, 25.12 W
2025/12/18 20:38:01.516, NVIDIA GeForce RTX 3080, 14 %, 0 %, 1141 MiB, 10240 MiB, 29, 57.02 W
2025/12/18 20:38:02.516, NVIDIA GeForce RTX 3080, 16 %, 0 %, 1669 MiB, 10240 MiB, 29, 85.07 W
2025/12/18 20:38:03.517, NVIDIA GeForce RTX 3080, 9 %, 0 %, 2122 MiB, 10240 MiB, 30, 85.60 W
2025/12/18 20:38:04.517, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2122 MiB, 10240 MiB, 30, 83.52 W
2025/12/18 20:38:05.517, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2129 MiB, 10240 MiB, 30, 83.39 W
2025/12/18 20:38:06.517, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2130 MiB, 10240 MiB, 30, 83.54 W
2025/12/18 20:38:07.517, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2178 MiB, 10240 MiB, 30, 84.04 W
2025/12/18 20:38:08.518, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2177 MiB, 10240 MiB, 30, 83.63 W
2025/12/18 20:38:09.519, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2177 MiB, 10240 MiB, 30, 83.69 W
2025/12/18 20:38:10.519, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2177 MiB, 10240 MiB, 30, 83.74 W
2025/12/18 20:38:11.519, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2178 MiB, 10240 MiB, 30, 83.78 W
2025/12/18 20:38:12.519, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2178 MiB, 10240 MiB, 30, 83.76 W
2025/12/18 20:38:13.520, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2177 MiB, 10240 MiB, 31, 83.87 W
2025/12/18 20:38:14.520, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2177 MiB, 10240 MiB, 31, 83.82 W
2025/12/18 20:38:15.521, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2177 MiB, 10240 MiB, 31, 83.71 W
2025/12/18 20:38:16.521, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2177 MiB, 10240 MiB, 31, 83.82 W
2025/12/18 20:38:17.521, NVIDIA GeForce RTX 3080, 0 %, 0 %, 2178 MiB, 10240 MiB, 31, 84.03 W
