timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 16:21:51.390, NVIDIA GeForce RTX 3080, 13 %, 0 %, 4533 MiB, 10240 MiB, 53, 115.94 W
2025/12/18 16:21:52.395, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4541 MiB, 10240 MiB, 56, 288.14 W
2025/12/18 16:21:53.395, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4538 MiB, 10240 MiB, 56, 288.95 W
2025/12/18 16:21:54.395, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4553 MiB, 10240 MiB, 57, 287.82 W
2025/12/18 16:21:55.395, NVIDIA GeForce RTX 3080, 99 %, 69 %, 4552 MiB, 10240 MiB, 58, 290.71 W
2025/12/18 16:21:56.396, NVIDIA GeForce RTX 3080, 98 %, 70 %, 4552 MiB, 10240 MiB, 58, 292.73 W
2025/12/18 16:21:57.412, NVIDIA GeForce RTX 3080, 77 %, 54 %, 4560 MiB, 10240 MiB, 53, 192.01 W
2025/12/18 16:21:58.837, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 53, 114.07 W
2025/12/18 16:22:00.084, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 52, 95.21 W
2025/12/18 16:22:02.109, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 51, 91.37 W
2025/12/18 16:22:06.056, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 51, 90.62 W
2025/12/18 16:22:11.390, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 51, 90.41 W
2025/12/18 16:22:14.361, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 50, 90.32 W
2025/12/18 16:22:17.530, NVIDIA GeForce RTX 3080, 0 %, 0 %, 4560 MiB, 10240 MiB, 48, 33.97 W
2025/12/18 16:22:18.634, NVIDIA GeForce RTX 3080, 0 %, 3 %, 4560 MiB, 10240 MiB, 48, 21.59 W
2025/12/18 16:22:22.770, NVIDIA GeForce RTX 3080, 0 %, 3 %, 4560 MiB, 10240 MiB, 47, 20.26 W
2025/12/18 16:22:24.740, NVIDIA GeForce RTX 3080, 0 %, 3 %, 4560 MiB, 10240 MiB, 47, 26.68 W
2025/12/18 16:22:28.865, NVIDIA GeForce RTX 3080, 0 %, 3 %, 4560 MiB, 10240 MiB, 45, 19.79 W
2025/12/18 16:22:38.208, NVIDIA GeForce RTX 3080, 0 %, 3 %, 4560 MiB, 10240 MiB, 44, 19.71 W
2025/12/18 16:22:39.597, NVIDIA GeForce RTX 3080, 0 %, 3 %, 4560 MiB, 10240 MiB, 43, 19.93 W
