timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 22:57:36.218, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5179 MiB, 10240 MiB, 74, 305.81 W
2025/12/18 22:57:37.225, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5179 MiB, 10240 MiB, 73, 306.22 W
2025/12/18 22:57:38.225, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5195 MiB, 10240 MiB, 74, 307.76 W
2025/12/18 22:57:39.226, NVIDIA GeForce RTX 3080, 100 %, 81 %, 5195 MiB, 10240 MiB, 74, 304.41 W
2025/12/18 22:57:40.226, NVIDIA GeForce RTX 3080, 100 %, 82 %, 5195 MiB, 10240 MiB, 74, 308.20 W
2025/12/18 22:57:41.226, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5195 MiB, 10240 MiB, 74, 307.70 W
2025/12/18 22:57:42.226, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5478 MiB, 10240 MiB, 74, 303.05 W
2025/12/18 22:57:43.226, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5512 MiB, 10240 MiB, 74, 307.00 W
2025/12/18 22:57:44.226, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5544 MiB, 10240 MiB, 74, 304.51 W
2025/12/18 22:57:45.226, NVIDIA GeForce RTX 3080, 100 %, 72 %, 5580 MiB, 10240 MiB, 74, 306.50 W
2025/12/18 22:57:46.226, NVIDIA GeForce RTX 3080, 100 %, 64 %, 5612 MiB, 10240 MiB, 74, 300.89 W
2025/12/18 22:57:47.227, NVIDIA GeForce RTX 3080, 100 %, 74 %, 5676 MiB, 10240 MiB, 74, 305.47 W
2025/12/18 22:57:48.227, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5746 MiB, 10240 MiB, 74, 305.79 W
2025/12/18 22:57:49.227, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5790 MiB, 10240 MiB, 74, 306.17 W
2025/12/18 22:57:50.227, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5826 MiB, 10240 MiB, 74, 306.50 W
2025/12/18 22:57:51.227, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5866 MiB, 10240 MiB, 74, 305.56 W
2025/12/18 22:57:52.227, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5942 MiB, 10240 MiB, 74, 304.86 W
2025/12/18 22:57:53.227, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5976 MiB, 10240 MiB, 74, 305.65 W
2025/12/18 22:57:54.228, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6020 MiB, 10240 MiB, 74, 307.69 W
2025/12/18 22:57:55.228, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6082 MiB, 10240 MiB, 74, 305.77 W
