timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/12/18 21:50:38.163, NVIDIA GeForce RTX 3080, 6 %, 4 %, 409 MiB, 10240 MiB
2025/12/18 21:50:39.171, NVIDIA GeForce RTX 3080, 0 %, 3 %, 412 MiB, 10240 MiB
2025/12/18 21:50:40.171, NVIDIA GeForce RTX 3080, 0 %, 3 %, 412 MiB, 10240 MiB
2025/12/18 21:50:41.171, NVIDIA GeForce RTX 3080, 0 %, 3 %, 412 MiB, 10240 MiB
2025/12/18 21:50:42.171, NVIDIA GeForce RTX 3080, 0 %, 3 %, 412 MiB, 10240 MiB
2025/12/18 21:50:43.171, NVIDIA GeForce RTX 3080, 0 %, 3 %, 412 MiB, 10240 MiB
2025/12/18 21:50:44.171, NVIDIA GeForce RTX 3080, 0 %, 3 %, 412 MiB, 10240 MiB
2025/12/18 21:50:45.171, NVIDIA GeForce RTX 3080, 18 %, 0 %, 855 MiB, 10240 MiB
2025/12/18 21:50:46.172, NVIDIA GeForce RTX 3080, 22 %, 0 %, 1553 MiB, 10240 MiB
2025/12/18 21:50:47.172, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1947 MiB, 10240 MiB
2025/12/18 21:50:48.172, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1947 MiB, 10240 MiB
2025/12/18 21:50:49.172, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1947 MiB, 10240 MiB
2025/12/18 21:50:50.172, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1947 MiB, 10240 MiB
2025/12/18 21:50:51.172, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1947 MiB, 10240 MiB
2025/12/18 21:50:52.173, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1947 MiB, 10240 MiB
2025/12/18 21:50:53.173, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1947 MiB, 10240 MiB
2025/12/18 21:50:54.174, NVIDIA GeForce RTX 3080, 0 %, 0 %, 1947 MiB, 10240 MiB
