timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:17:18.293, NVIDIA GeForce RTX 3080, 0 %, 3 %, 655 MiB, 10240 MiB, 34, 19.95 W
2025/12/18 20:17:19.312, NVIDIA GeForce RTX 3080, 63 %, 42 %, 667 MiB, 10240 MiB, 34, 22.63 W
2025/12/18 20:17:20.312, NVIDIA GeForce RTX 3080, 0 %, 3 %, 661 MiB, 10240 MiB, 34, 28.14 W
2025/12/18 20:17:21.312, NVIDIA GeForce RTX 3080, 0 %, 3 %, 661 MiB, 10240 MiB, 34, 28.12 W
2025/12/18 20:17:22.312, NVIDIA GeForce RTX 3080, 6 %, 6 %, 675 MiB, 10240 MiB, 34, 28.20 W
2025/12/18 20:17:23.312, NVIDIA GeForce RTX 3080, 37 %, 25 %, 688 MiB, 10240 MiB, 34, 29.07 W
2025/12/18 20:17:24.312, NVIDIA GeForce RTX 3080, 34 %, 24 %, 1048 MiB, 10240 MiB, 34, 29.56 W
2025/12/18 20:17:25.313, NVIDIA GeForce RTX 3080, 21 %, 1 %, 1660 MiB, 10240 MiB, 36, 72.37 W
2025/12/18 20:17:26.313, NVIDIA GeForce RTX 3080, 23 %, 1 %, 2226 MiB, 10240 MiB, 36, 89.63 W
2025/12/18 20:17:27.313, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2216 MiB, 10240 MiB, 36, 88.12 W
2025/12/18 20:17:28.313, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2211 MiB, 10240 MiB, 36, 86.77 W
2025/12/18 20:17:29.313, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2209 MiB, 10240 MiB, 36, 86.53 W
2025/12/18 20:17:30.313, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2247 MiB, 10240 MiB, 36, 86.55 W
2025/12/18 20:17:31.314, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2246 MiB, 10240 MiB, 36, 86.59 W
2025/12/18 20:17:32.314, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2246 MiB, 10240 MiB, 36, 86.48 W
2025/12/18 20:17:33.314, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2245 MiB, 10240 MiB, 36, 86.63 W
2025/12/18 20:17:34.314, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2245 MiB, 10240 MiB, 36, 86.58 W
2025/12/18 20:17:35.314, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2245 MiB, 10240 MiB, 36, 86.51 W
2025/12/18 20:17:36.315, NVIDIA GeForce RTX 3080, 5 %, 1 %, 2249 MiB, 10240 MiB, 36, 86.63 W
2025/12/18 20:17:37.315, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2239 MiB, 10240 MiB, 36, 86.99 W
2025/12/18 20:17:38.315, NVIDIA GeForce RTX 3080, 4 %, 1 %, 2239 MiB, 10240 MiB, 37, 86.48 W
2025/12/18 20:17:39.316, NVIDIA GeForce RTX 3080, 4 %, 1 %, 2239 MiB, 10240 MiB, 37, 86.60 W
2025/12/18 20:17:40.316, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2239 MiB, 10240 MiB, 37, 86.88 W
2025/12/18 20:17:41.316, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2239 MiB, 10240 MiB, 37, 86.92 W
2025/12/18 20:17:42.316, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2239 MiB, 10240 MiB, 37, 87.07 W
2025/12/18 20:17:43.316, NVIDIA GeForce RTX 3080, 6 %, 1 %, 2248 MiB, 10240 MiB, 37, 87.05 W
